eng text
./texts/eng text
mark 0.0415915707749896
twain 0.0011091085539997228
samuel 0.0005545542769998614
clemen 0.0002772771384999307
adventur 0.01220019409399695
huckleberri 0.0009704699847497574
finn 0.005268265631498683
notic 0.03036184666574241
person 0.026341328157493415
attempt 0.00859559129349785
find 0.09912657701372522
motiv 0.0018023014002495495
narr 0.0018023014002495495
prosecut 0.0002772771384999307
moral 0.004436434215998891
banish 0.0015250242617496188
plot 0.004020518508248995
shot 0.01843892971024539
order 0.031332316650492166
author 0.013170664078746707
per 0.006931928462498267
gg 0.0002772771384999307
chief 0.01996395397199501
ordnanc 0.0005545542769998614
explanatori 0.000415915707749896
book 0.05212810203798697
number 0.023568556772494108
dialect 0.001663662830999584
use 0.12810203798696798
wit 0.010952446970747261
missouri 0.0030500485234992375
negro 0.0005545542769998614
extremest 0.0002772771384999307
form 0.030500485234992374
backwood 0.0002772771384999307
southwestern 0.000415915707749896
ordinari 0.005406904200748648
«pike 0.0002772771384999307
county» 0.0002772771384999307
four 0.045612089283238594
modifi 0.0013863856924996535
varieti 0.003188687092749203
last 0.19783723831970054
shade 0.011091085539997228
done 0.10883127686122279
haphazard 0.000415915707749896
fashion 0.013447941217246639
guesswork 0.000415915707749896
painstakingli 0.0002772771384999307
trustworthi 0.000415915707749896
guidanc 0.0015250242617496188
support 0.0041591570774989605
familiar 0.004852349923748787
sever 0.022459448218494386
speech 0.023014002495494245
make 0.1695549701927076
explan 0.0019409399694995148
reason 0.019548038264245112
without 0.07985581588798003
mani 0.18743934562595313
reader 0.0074864827394981286
would 0.375987799805906
suppos 0.035768750866491054
charact 0.009427422708997643
tri 0.08983779287397754
talk 0.09108553999722722
alik 0.0026341328157493413
succeed 0.0041591570774989605
chapter 0.02855954526549286
dont 0.09566061278247609
know 0.29460695965617634
read 0.052405379176486896
name 0.1380840149729655
tom 0.11299043393872175
sawyer 0.013447941217246639
aint 0.08512408151947871
matter 0.04006654651323999
made 0.168029945930958
mr 0.19783723831970054
told 0.0971856370442257
truth 0.017468459725495634
mainli 0.006100097046998475
thing 0.23152641064744212
stretch 0.02107306252599473
noth 0.10855399972272287
never 0.15707749896021073
seen 0.08942187716622764
anybodi 0.0244003881879939
lie 0.059614584777485095
one 0.41688617773464576
time 0.32288922778316925
anoth 0.09191737141272702
aunt 0.018577568279495357
polli 0.0030500485234992375
widow 0.023707195341744074
mayb 0.04491889643698877
mari 0.023845833910994037
pollytom 0.000415915707749896
isand 0.0006931928462498268
dougla 0.0022182171079994455
mostli 0.013586579786496604
true 0.026618605295993344
stretcher 0.0006931928462498268
said 1.0
way 0.25731318452793567
wind 0.07930126161098018
found 0.10980174684597255
money 0.04270067932898933
robber 0.0058228199084985445
hid 0.017329821156245668
cave 0.0140024954942465
us 0.2064328296131984
rich 0.018577568279495357
got 0.2749202828226813
six 0.02675724386524331
thousand 0.02495494246499376
dollar 0.02107306252599473
apieceal 0.000415915707749896
gold 0.03895743795924026
aw 0.01580479689449605
sight 0.039234715097740194
pile 0.014695688340496326
well 0.19423263551920145
judg 0.034105088035491476
thatcher 0.005961458477748509
took 0.14349091917371412
put 0.1336475807569666
interest 0.01843892971024539
fetch 0.03382781089699154
day 0.23790378483294053
apiec 0.002772771384999307
year 0.12366560377096908
round 0.10481075835297379
—more 0.000415915707749896
bodi 0.04408706502148898
could 0.3434077360321641
tell 0.14903646194371273
son 0.07431027311798143
allow 0.025370858172743656
sivil 0.0011091085539997228
rough 0.009288784139747678
live 0.0939969499514765
hous 0.11146540967697213
consid 0.011507001247747123
dismal 0.0018023014002495495
regular 0.007902398447248025
decent 0.0037432413697490643
couldnt 0.07070567031748233
stand 0.07209205600998198
longer 0.03743241369749064
lit 0.020241231110494938
old 0.28587272979342854
rag 0.013032025509496743
sugarhogshead 0.000415915707749896
free 0.03355053375849161
satisfi 0.011645639816997089
hunt 0.023014002495494245
go 0.4339387217523915
start 0.05892139193123527
band 0.008456952724247886
might 0.10079023984472481
join 0.013863856924996533
back 0.2844863441009289
respect 0.011091085539997228
went 0.2448357132954388
cri 0.13170664078746708
call 0.14501594343546376
poor 0.051989463468737
lost 0.0488007763759878
lamb 0.003327325661999168
lot 0.03992790794399002
meant 0.013586579786496604
harm 0.015388881186746153
new 0.07264661028698184
cloth 0.029945930957992514
sweat 0.010813808401497297
feel 0.07985581588798003
cramp 0.0019409399694995148
commenc 0.001247747123249688
rung 0.0015250242617496188
bell 0.01427977263274643
supper 0.018300291140995423
come 0.45695272424788574
tabl 0.03701649798974074
right 0.17523915153195618
eat 0.03743241369749064
wait 0.08221267156522945
tuck 0.008179675585747954
head 0.14265908775821434
grumbl 0.003327325661999168
littl 0.2032441425204492
victual 0.0009704699847497574
though 0.12699292943296825
warnt 0.0899764314432275
realli 0.025093581034243726
anyth 0.060862331900734784
themthat 0.000415915707749896
everyth 0.03826424511299043
cook 0.009150145570497712
barrel 0.006793289893248302
odd 0.007902398447248025
end 0.13905448495771525
differ 0.03424372660474144
get 0.2512130874809372
mix 0.009288784139747678
juic 0.0015250242617496188
kind 0.08193539442672952
swap 0.0019409399694995148
around 0.08872868431997782
better 0.07957853874948011
learn 0.039096076528490224
mose 0.006100097046998475
bulrush 0.000831831415499792
let 0.14529322057396368
dead 0.07070567031748233
consider 0.014418411201996396
long 0.2903091640094274
didnt 0.10827672258422293
care 0.045750727852488564
take 0.16927769305420767
stock 0.012616109801746846
peopl 0.09871066130597532
pretti 0.059614584777485095
soon 0.10189934839872453
want 0.16109801746845973
smoke 0.03382781089699154
ask 0.12144738666296964
wouldnt 0.05808956051573548
mean 0.062387356162484406
practic 0.006654651323998336
wasnt 0.009288784139747678
clean 0.01968667683349508
must 0.1604048246222099
aboth 0.000415915707749896
kin 0.009150145570497712
gone 0.08207403299597948
see 0.363926244281159
yet 0.1364203521419659
power 0.06626923610148343
fault 0.00804103701649799
good 0.21308748093719673
snuff 0.0009704699847497574
cours 0.07389435741023152
sister 0.014418411201996396
miss 0.054346319145986415
watson 0.008456952724247886
toler 0.0041591570774989605
slim 0.0034659642312491333
maid 0.003327325661999168
goggl 0.0013863856924996535
set 0.12976570081796757
spellingbook 0.000415915707749896
work 0.0732011645639817
middl 0.02966865381949258
hard 0.042423402190489394
hour 0.06058505476223485
eas 0.0058228199084985445
stood 0.1107722168307223
much 0.1380840149729655
deadli 0.011091085539997228
dull 0.0103978926937474
fidgeti 0.0009704699847497574
say 0.4724802440038819
«dont 0.006516012754748371
feet 0.0727852488562318
huckleberry« 0.000415915707749896
scrunch 0.0005545542769998614
like 0.40981561070289757
huckleberryset 0.000415915707749896
straight« 0.000415915707749896
gap 0.009288784139747678
huckleberrywhi 0.000415915707749896
behave» 0.000415915707749896
bad 0.032580063773741855
place 0.12297241092471926
wish 0.07167614030223209
mad 0.014141134063496465
somewher 0.014972965478996257
chang 0.05074171634548731
particular 0.007347844170248163
wick 0.0041591570774989605
whole 0.037986967974490506
world 0.07583529737973103
advantag 0.003188687092749203
mind 0.08651046721197837
troubl 0.06294191043948426
harp 0.0038818799389990295
sing 0.05226674060723693
forev 0.0023568556772494108
ever 0.16151393317620963
think 0.176070982947456
reckon 0.07625121308748094
glad 0.035768750866491054
togeth 0.05143490919173714
kept 0.037848329405240536
peck 0.0022182171079994455
tiresom 0.0019409399694995148
lonesom 0.005684181339248579
nigger 0.05892139193123527
prayer 0.0038818799389990295
everybodi 0.030084569527242477
bed 0.05725772910023569
room 0.04270067932898933
piec 0.02675724386524331
candl 0.022875363926244282
chair 0.022736725356994315
window 0.049771246360737556
someth 0.09288784139747677
cheer 0.013309302647996672
felt 0.07042839317898239
star 0.045057535006238734
shine 0.02412311104949397
leav 0.10716761403022321
rustl 0.008456952724247886
wood 0.07444891168723139
mourn 0.010813808401497297
heard 0.1292111465409677
owl 0.001663662830999584
away 0.23332871204769168
whowhoo 0.000415915707749896
somebodi 0.019548038264245112
whippowil 0.000415915707749896
dog 0.03382781089699154
die 0.057673644807985584
whisper 0.02855954526549286
cold 0.05587134340773603
shiver 0.009288784139747678
run 0.0872036600582282
sound 0.07736032164148066
ghost 0.007209205600998198
that 0.03895743795924026
cant 0.03091640094274227
understood 0.008318314154997921
rest 0.06516012754748371
easi 0.026202689588243448
grave 0.0171911825869957
everi 0.08096492444197975
night 0.1623457645917094
griev 0.004990988492998752
downheart 0.000831831415499792
scare 0.012754748370996811
compani 0.051018993483987245
spider 0.005129627062248718
crawl 0.02107306252599473
shoulder 0.03687785942049078
flip 0.000415915707749896
budg 0.0034659642312491333
shrivel 0.002772771384999307
need 0.06488285040898378
sign 0.04602800499098849
luck 0.021211701095244697
shook 0.016636628309995842
turn 0.1807846943019548
track 0.015527519755996118
three 0.10148343269097462
cross 0.03812560654374047
breast 0.015111604048246222
tie 0.01816165257174546
lock 0.017607098294745598
hair 0.041175655067239705
thread 0.0074864827394981286
keep 0.08900596145847775
witch 0.007070567031748232
hadnt 0.025093581034243726
